6489;"ГК БАРС";ООО;1658193829;;420095, РТ, г. Казань, ул. Восстания, д.100, корп.306, оф. 1;89179273160;rukharisov@yandex.ru;;0;Цигельницкий И.Г.;Продажи Конечник;rukharisov@yandex.ru;+79179273160, 89179273160
3113;"ГК Дисхаус";ООО;7715776059;ГК Дисхаус;Москва ул.Чермянский проехд д. 7 стр 1;(495) 984 64 46;;;0;Двойрис М.Ю.;;;(495) 984 64 46
6844;"ГК КРЭББИТ";ООО;7722377552;;111024, г. Москва, Андроновское шоссе, дом 26, стр. 5, этаж 6, помещение 1 – 22;+7 (977) 471 67 22;gk@crabbit.ru;;0;Цигельницкий И.Г.;Продажи Конечник;gk@crabbit.ru, reception@crabbit.ru;+7 (977) 471 67 22, +7(495)106-00-49
1886;"Главинвест";ООО;7704553389;Главинвест;;;;;;;;;
4535;"Главсюрприз";;;;;;;;0;;;;
3234;"ГлавЦенникТорг";ООО;7743552710;ГлавЦенникТорг;129346 г Москва Анадырский проезд д 47 кор 1 кв 454;9151242645;info@cenniki.su;;0;Румянцева А.В.;Продажи рекламщик;info@cenniki.su;9151242645
1575;"ГЛАССВОЛГА";ООО;3443072987;Глассволга;г.Волгоград Шоссе Авиаторов, 1;;;;;;;;
3094;"Глобал Грин";ЗАО;;Глобал Грин;;;;;0;;;;
6734;"ГЛОБАЛ КЕМИКАЛ";ООО;3426013614;;400001, г. Волгоград, ул. им. Калинина, д. 2А, корпус А, офис 1;(8442) 49-50-48;y.sipotenkova@sm-lube.ru;;0;Цигельницкий И.Г.;Продажи Конечник;y.sipotenkova@sm-lube.ru;(8442) 49-50-48, +7 (917) 330-02-88
3906;"Глобал Сервис";ООО;5029155951;;141009, М.О г Мытищи, ул Бутовского, д. 20;;;;0;;;;
2112;"Глобал Форум";ООО;7707613893;Глобал Форум;г. Москва, ул . Селезневская д 11 б;(495) 781-78-42;;;;;;;(495) 781-78-42
5684;"ГЛОБАЛ-С";ООО;7721833393;;129343, г. Москва, проезд Серебрякова, дом № 14, стр.15, этаж 2, офис 01;+7(495)540-40-54;at@globalsouvenir.ru;;0;Гильметдинова Э.С.;Продажи рекламщик;at@globalsouvenir.ru, mm@globalsouvenir.ru;+7(495)54-040-54, +7(495)540-40-54, 8-495-40-40-54
1102;"Глобалкомпани";ООО;771401001;Интервенция;г.Москва Восьмого марта 4-я, 6а стр1;;;;;;;;
4905;"Глобус-Сталь";ООО;7712096009;;125499, г.Москва, Кронштадтский бульвар, д.35 Б;(495) 783-80-98;e.uvarova@globus-stal.ru;;0;Кошлакова Виктория;Продажи Конечник;e.uvarova@globus-stal.ru;(495) 783-80-98, 8-495-783-80-98
2241;"ГЛОРА-М";ООО;7713651343;ГЛОРА-М;Москва ул.Каширское ш., д.48, корп.2, кв.1;;;;;;;;
1602;"ГЛОРИЯ МТК";ООО;7732111569;АкваМаркс;г.Москва Боровское шоссе, 33;;;;;;;;
1349;"Глория";ООО;7718615660;Глория;г.Москва Иркутская ул, 5/6 стр 3;;;;;;;;
6889;"ГЛЭМ";ООО;6670301043;;620049, Свердловская обл., Екатеринбург г., Софьи Ковалевской ул., дом 3, офис 220;+7 (343) 317-35-05;nastya@glempr.ru;;0;Цигельницкий И.Г.;Продажи рекламщик;nastya@glempr.ru;+7 (343) 317-35-05, +79022641817
1340;"Голден Арт";ООО;7726522024;Голден Арт;117556, г. Москва, Фруктовая, 7, корп.2;499 788 78 38, 788 78 39;info@golden-art.ru;;;Румянцева А.В.;;info@golden-art.ru;499 788 78 38, 788 78 39
4361;"Голден Хоспителити";ЗАО;7710915693;;127006, г. Москва, ул. Малая Дмитровка, д. 11;(495)980-70-00;;;0;;;;(495)980-70-00
523;"Голден-Лайн";ООО;7714557223;Голден-Лайн;г.Москва Петровско-Разумовская, 24, корп.19;;;;;;;;
3974;"ГОЛДЕР ЭЛЕКТРОНИКС";ООО;;;;;;;0;;;;
5413;"ГОЛДКОИН";ООО;1650318723;;423812, Республика Татарстан, г. Набережные Челны, пр. Сююмбике, д. 16, помещение 2Н, офис 2-9;51-41-41;;;0;;Продажи рекламщик;2147831@bk.ru;51-41-41, 8-987-214-78-31
5256;"Гольф Казан";ЗАО;1655082207;;422579, Республика Татарстан, Верхнеуслонский район, дер. Савино;(843)2009-528;t.kozlova@golfkazan.com;;0;;;t.kozlova@golfkazan.com;(843)2009-528
816;"Горизонт";ООО;5406294512;Горизонт;г.Новосибирск ул. Советская, 22;;;;;;;;
1620;"ГОРИЗОНТ";ООО;7719513318;ГОРИЗОНТ;г.Москва ул.Борисовская, 3;;;;;;;;
4486;"Город Медиа";;;;;;;;0;;;;
6425;"ГОРОД ПОДАРКОВ";ООО;5256164222;;603069, Нижегородская обл, Нижний Новгород г, Ореховская ул, дом № 80, корпус 3;(831) 216-14-66;zakupki.promes@gmail.com;;0;Кошлакова Виктория;Продажи рекламщик;zakupki.promes@gmail.com;(831) 216-14-66, +7-910-382-00-82
6857;"Городские реновации";ОООВМРТ;7709467310;Общероссийская организация «Го;115172, г. Москва, Гончарная набережная, д. 1 стр. 4;79605700088;aleksey_vz62@mail.ru;;0;Цигельницкий И.Г.;Продажи Конечник;aleksey_vz62@mail.ru;79605700088
6356;"ГОРОДСКИЕ ЭКОКОНТЕЙНЕРЫ";АНО;7751151655;;108811, Город Московский, ул. Хабарова, д.2, офис 716;8 915 896 10 10;n.maslova@geccon.org;;0;Кошлакова Виктория;Продажи Конечник;n.maslova@geccon.org;8 915 896 10 10
3205;"Городской Департамент Рекламы";ООО;8602076643;Городской Департамент Рекламы;628405, ХМАО-Югра, г.Сургут, пр-т Пролетарский, 10;(3462)25 04 98, 25 04 46, 25 04 92;zpt86@rambler.ru;;0;;;zpt86@rambler.ru;(3462)25 04 98, 25 04 46, 25 04 92
2989;"Гортек Стар";ООО;7715601323;Гортек Стар;117105 г. Москва, Варшавское шоссе, д. 1 стр 1 оф 350;495 580 54 84;imyurkova@sinta.ru;;0;Румянцева А.В.;;imyurkova@sinta.ru;495 580 54 84
964;"Гостиница "Украина";ОАО;7730118505;Гостиница Украина;г.Москва ул.Кутузовский проспект, 2/1 стр1;;;;;;;;
4117;"Гостиница "Центральная";ЗАО;6685000190;"Гостиница "Центральная";620075, г Екатеринбург, ул Малышева д. 74, оф. 242;343 350 06 50;shevchenko@ustagroup.ru;;0;Румянцева А.В.;;shevchenko@ustagroup.ru;343 350 06 50
3244;"Гостинично-офисный комплекс "Пекин";ОАО;7710327099;Гостиничный комплекс Пекин;Москва ул.Большая Садовая, д.5;;;;0;Двойрис М.Ю.;;;
6874;"Государственный заповедник "Командорский";ФГБУ;4103000088;;684500, Камчатский край, Алеутский район, с. Никольское, ул. Гагарина, д.4;(4152) 29-85-90;rvantsova@commanderislands.ru;;0;Кошлакова Виктория;Продажи Конечник;rvantsova@commanderislands.ru;(4152) 29-85-90, (41547) 22-225
6887;"Государственный музей искусства народов Востока";ФГБУ культур;7703052630;;119019 г. Москва, Никитский бульвар, 12а;7 (495) 691- 03-41;info@orientmuseum.ru;;0;Кошлакова Виктория;Продажи Конечник;info@orientmuseum.ru, ksarkisov@orientmuseum.ru;7 (495) 691- 03-41
6731;"Государственный научно-исследовательский музей архитектуры имени А.В. Щусева";ФГБУ культур;7704060792;;119019, г. Москва, ул. Воздвиженка, д. 5/25;8 (495) 691-21-09;info@muar.ru;;0;Цигельницкий И.Г.;Розничная точка;elcrio@yandex.ru, info@muar.ru;+79951178940, 8 (495) 691-21-09
7001;"Гофра коллектинг";ООО;5406736182;;630108, Россия, г. Новосибирск, ул. Станционная, 30а, каб. 407;79830024050;rsonsk@mail.ru;;0;Цигельницкий И.Г.;Продажи Конечник;rsonsk@mail.ru;79830024050
1885;"Градиент";ООО;7728630699;Градиент;Москва Дмитрия Ульянова, 8, корп.1;;;;;;;;
4966;"Гран";ООО;7718163300;;107150, г. Москва, 4 проезд Подбельского, д. 3, стр. 5;8 (495) 775-86-83;info@planetasuvenir.ru;;0;Кошлакова Виктория;Продажи рекламщик;info@planetasuvenir.ru, pozdnyakova@upakstil.ru;8 (495) 775-86-83, 8-495-775-86-83, 8-495-775-89-48
1094;"Гранада";ООО;7706591929;Сувенир-центр;г.Москва Б.Полянка, 61 стр2;;;;;;;;
3313;"Гранат";ООО;7702746018;Гранат;Москва ул.2-ой Крестовский пер., д.8, офис 1;;;;0;;;;
4119;"Гранд Авеню Отель";ООО;6685011724;Гранд Авеню Отель;620144, г Екатеринбург, ул Шейнкмана/Московская д. 110а/131, оф 206;343 350 06 50;shevchenko@ustagroup.ru;;0;Румянцева А.В.;;shevchenko@ustagroup.ru;343 350 06 50
6181;"ГРАНД Парк";ООО;7839068732;;190068, г. Санкт-Петербург, Набережная Крюкова канала, дом 25, литер А, помещение 1-Н;8-921-576-41-29;d.krakhmalnaya@joki-joya.ru;;0;Кошлакова Виктория;Продажи Конечник;d.krakhmalnaya@joki-joya.ru, joki.joya@gmail.com;+7-921-645-13-16, 8-921-576-41-29
1005;"Гранд";ООО;7743575883;Клевер принт;г.Москва Валдайский пр..,, д.8 стр1;;;;;;Продажи Конечник;;
2482;"Гранд";ООО;274129912;Гранд;450005 Республика Башкортостан, г. Уфа ул Революционная , 107;(347) 291-35-35, 291-36-36;;;0;Двойрис М.Ю.;Продажи Конечник;;(347) 291-35-35, 291-36-36
2783;"Гранд";ООО;5837037904;Гранд;Пенза ул.Попова, д.12А-31;(8412) 369680;;;0;Румянцева А.В.;Продажи Конечник;;(8412) 369680
3053;"Гранд";ООО;278166680;Гранд;Уфа ул.Революционная , д.107;(347) 291 35 35, 291 36 36;;;0;Двойрис М.Ю.;Продажи Конечник;;(347) 291 35 35, 291 36 36
4878;"Гранд";ООО;7736681023;;119331,г.Москва,пр.Вернадского д.29,офис1809;8(495)234 02 35;;;0;Кошлакова Виктория;Продажи Конечник;rasskazova.vera@bk.ru;8(495)234 02 35, 8(495)2340235
1454;"Грандис";ООО;7719593810;Сувенир медия;г.Москва Большая Семеновская, 45 стр1;;;;;;;;
1978;"Грандреклама";ООО;7722631150;Грандреклама;Москва Таможенный проезд , д.6 стр. 3;;;;;Двойрис М.Ю.;;;
2658;"Грани-Центр";ООО;5050067899;Грани-Центр;141100 г. Щелково Московская область 1-й советский переулок д. 25 офис 310;;;;0;Румянцева А.В.;;;
3017;"Гранит";ООО;7705827667;Гранит;Москва ул.Верхняя Радищевская, д.4 стр 3-4-5 комн 4;;;;0;;;;
3832;"ГРАНП полиграф";ЗАО;7721197814;ГРАНП полиграф;109428, г. Москва, ул. Коновалова, д.16, 27;8 901 599 00 51;;;0;Двойрис М.Ю.;;;8 901 599 00 51, tib@mail.ru
3665;"Грас-92";ООО;7712027647;Грас-92;;;;;0;;;;
2908;"Грата АДВ";ООО;7727713286;Грата АДВ;117036, г. Москва,ул.Профсоюзная , д.3;8 (499) 124 61 56;e_grigoryeva@grata-mail.ru;;0;Кошлакова Виктория;Продажи рекламщик;e_grigoryeva@grata-mail.ru, e_sychkova@grata-mail.ru, n_kolpakchi@grata-mail.ru, t_shaburina@grata-adv.ru;8 (499) 124 60 31, 8 (499) 124 61 56, 8 (916) 331 04 96
801;"Грата Адвертайзинг Компани";ООО;7723342785;Грата;г.Москва ул. Нижние поля, 10А стр1;;;;;;;;
4679;"Граф Колесник";ООО;2310166747;;350047, Краснодарский край, г. Краснодар, Бабшина, 52;8(861)210-87-02;graftp@gmail.com;;0;Кошлакова Виктория;Продажи рекламщик;graftp@gmail.com;+7(861) 226-17-52, +7(861) 226-27-35, 8(861)210-87-02
3173;"Граф Цеппелин";ООО;3328417520;Граф Цеппелин;Владимир ул.Дворянская, д.5/1;8 (4922) 322069;;;0;Румянцева А.В.;;;8 (4922) 322069, zeppeling@mail.ru
961;"График-С";ООО;4345089550;График-с;г.Киров ул. Сурикова, 19,оф.325;;;;;;;;
1323;"Графика +";ООО;3811040063;Графика+;Иркутск ул.Дек. Событий, д.119а;;;;;Двойрис М.Ю.;;;
1996;"Графика - Булгария";ООО;1659006221;Графика - Булгария;г Казань Оренбургский тр., 20;;;;;;;;
4740;"ГРАФИКА";ООО;7729789097;;119602, г. Москва, ул. Академика Анохина, д. 38, корп. 1;(495)633-11-47;mary@grafika-s.ru;;0;Кошлакова Виктория;Продажи рекламщик;mary@grafika-s.ru, tanya@grafika-s.ru;(495)633-11-47, (495)958-18-12, 8 (495)737 61 40 доб. 126, 89036267971
4044;"Графика-Сервис";ООО;7725790863;Графика-Сервис;115419, Москва 2-ой Рощинский проезд, д.8;495) 633-11-20 / 27 / 19;grafika-s@yandex.ru;;0;Румянцева А.В.;Продажи рекламщик;grafika-s@yandex.ru, mary@grafika-s.ru;495) 633-11-20 / 27 / 19, 8 (495)737 61 40 доб. 126, grafika-s@yandex.ru
1986;"Графика-Сервис";ООО;7725715908;Графика-Сервис (старая);Москва ул.Рощинский проезд д 8;737 61 40, 958 18 12;;;;Румянцева А.В.;;katy@grafika-s.ru;737 61 40, 958 18 12, 737-61-40, svetaas@grafika-s.ru
4711;"ГрафикаПак";ООО;7723905357;;109341, г. Москва, ул. Новомарьинская, д. 3, корп. 3;(495)643-24-56;pm-suvenir@yandex.ru;;0;Кошлакова Виктория;Продажи рекламщик;pm-suvenir@yandex.ru;(495)643-24-56, 8(495)6-432-456
3345;"Графис ЛТД";ООО;7716010073;Графис ЛТД;119021 г Москва Зубовский пр-д, д. 2-4 стр 2 ЦАО г Москвы;;;;0;;;;
5965;"Графо и компания";ООО;7813297248;;197101, Санкт-Петербург, ул. Кронверкская, д. 23, территория ЗАО «Салют»;(812) 449-21-49;project@grafo.spb.ru;;0;Кошлакова Виктория;Продажи рекламщик;project@grafo.spb.ru, volkova@grafo.spb.ru;(812) 449-21-49, +7 (921) 910-16-05, 8-812-910 16 05, 8-905-259-04-29
5385;"ГРАФО";ООО;7814300920;;197342, г. Санкт-Петербург, ул. Сердобольская, д. 64, лит. К, пом. 11 Н;(812)449-21-49;volkova@grafo.spb.ru;;0;Двойрис М.Ю.;Продажи рекламщик;elena@grafo.spb.ru, julia@grafo.spb.ru, project@grafo.spb.ru, volkova@grafo.spb.ru;(812) 449 21 49, (812) 910 16 05, (812)449-21-49, +7 905 259 04 29, 380-82-11, (931)288-62-44, 8-812-449-21-49
5411;"Грейт Дистрибьюшн";ООО;5036068386;;142180, Московская обл.г. Климовск, ул. Ленина, д. 1;8(495) 937-85-36;;;0;;Продажи Конечник;;8(495) 937-85-36, 8(495)786-65-54
5289;"Гремир";ООО;7729445917;;Москва ул.Мосфильмовская, д.41, корп.1, пом.6;(495)236-72-05;info@gremir.ru;;0;Кошлакова Виктория;Продажи Конечник;0501@gremir.ru, info@gremir.ru, pomaniso4ka1993@gmail.com;+7 (903) 778-56-04, (495)236-72-05, 8(952)419-05-52
5249;"Грин Гифт";ООО;7719773490;;105318, г. Москва, Измайловское шоссе, д. 28, офис 206;(495)926-38-00;green-classik@yandex.ru;;0;;Продажи рекламщик;green-classik@yandex.ru;(495)926-38-00
3677;"Грин Классик";ООО;7719666498;Грин Классик;Москва ул.Измайловское шоссе, д.28 офис 317;;;;0;;;;
4344;"Грин Принт";ООО;7719741610;;Москва Измайловское шоссе, д.28, офис 314;(495)926-38-00;;;0;;;;(495)926-38-00
5020;"Грин Принтер";ООО;7709965058;;105064, г. Москва, Нижний Сусальный переулок, д. 5, стр. 10;(495)662-10-51;;;0;;Продажи рекламщик;;(495)662-10-51
1368;"Гринвич";ООО;3665057669;Гринвич;г.Воронеж Придонская, 50;;;;;;;;
4865;"ГринвэйИнвест";ООО;5404003750;;630071, Новосибирская обл., г. Новосибирск, ул. Станционная, д. 60/1, пом. 38;8-812-431-81-31;rim@dorogavrim.ru;;0;Кошлакова Виктория;Продажи Агентство;rim@dorogavrim.ru;8-812-431-81-31
3465;"Гринфокс-АГ";ООО;7728719509;Гринфокс-АГ;Москва ул.Научный проезд, д.6;(495) 779-47-17;;;0;Двойрис М.Ю.;;;(495) 779-47-17
1679;"Грифит";ООО;7714687102;Грифит;г.Москва ул.Беговая, 13;;;;;;;;
1040;"ГросПринт";ООО;7717551950;ГросПринт;г.Москва ул.Веткина, д.2;;;;;Двойрис М.Ю.;;;
1383;"Группа "Торговое оборудование";ООО;7707543660;Торговое оборудование;г.Москва Новослободская, 18;;;;;;;;
5183;"Группа 7-плюс";ООО;2463040702;;660028, г. Красноярск, ул. Телевизорная, д. 1, строение 3;(3912)900-342;tm05@7group.kras.ru;;0;Кошлакова Виктория;Продажи Дилер;tm05@7group.kras.ru;(3912)900-342, 900-343
2177;"Группа ДСМ";АО;7707591431;Группа ДСМ;125040, г. Москва, ул. Ямского поля 5-я, д.7, корп.2, 3 этаж, пом. I;780-72-63;ezueva@dsm.ru, aplatov@dsm.ru;;;Кошлакова Виктория;Продажи Агентство;afatyanov@dsm.ru, agretsov@dsm.ru, aplatov@dsm.ru, dyadyaeva@dsm.ru, ezueva@dsm.ru, ezueva@dsm.ru, aplatov@dsm.ru;780-72-63, 8-495-780-72-63, 84957807263
1573;"Группа ЕМА";ООО;5043029733;EMA Croup;г.Серпухов ул.Луговая, 5;;;;;;;;
3340;"ГРУППА КОМПАНИЙ "3нити.ру";ООО;1655199357;ГРУППА КОМПАНИЙ 3нити.ру;Казань ул.Университетская, д.11/46 б;(843/) 2000 303;;;0;;;;(843/) 2000 303
3631;"Группа компаний "Агропром-МТД";ОАО;7714263223;Группа компаний Агропром-МТД;Москва 125040, г. Москва, ул. Нижняя, дом 14, строение 1;(495) 995-95-01 доб. 140,;psixeya67@yandex.ru;;0;Румянцева А.В.;;e.surmova@agromdt.ru, psixeya67@yandex.ru;(495) 995-95-01 доб. 140,
4441;"Группа компаний "Времена Года - Престиж";ООО;7810464540;;196084, г. Санкт-Петербург, ул. Киевская, д. 8, корп. 2, литер А;;;;0;;;;
4716;"Группа Компаний "Квадрат";ООО;3812120748;;105005, Россия, г. Москва, ул. Бауманская, д.7, стр.1, оф.209;(495)909-99-49;mail@kvadratoff.ru;;0;;;mail@kvadratoff.ru;(495)909-99-49
864;"Группа Компаний "Протис";ООО;7714517460;Протис;Москва Ленинградский просп.,д.47, стр.2;;;;;;;;
3426;"Группа компаний "Эмбиком Кубань";ЗАО;2308129441;Эмбиком Кубань;Краснодар ул.Пашковская, д.61;8 861 255 99 91, 255 94 04;;;0;;;;8 861 255 99 91, 255 94 04
2953;"Группа компаний Арское";ООО;7325068195;Группа компаний Арское;г. Ульяновск ул.Марата , д.8;44-56-08, 44- 68-48;;;0;Двойрис М.Ю.;;;44-56-08, 44- 68-48
879;"Группа компаний Ватсон";ООО;7714598597;Ватсон ТК;г.Москва ул.Ленинградский проспект, 66;;;;;;;;
5636;"ГРУППА КОМПАНИЙ ВИНГ ПРИНТ";ООО;7723472495;;109390, г. Москва, ул. Артюхиной, дом № 6Б, помещение 606/А;+7 (499) 179-42-64;info@wingprint.ru;;0;Двойрис М.Ю.;Продажи рекламщик;gifts6@wingprint.ru, info@wingprint.ru;+7 (499) 179-42-64, +7 (499) 504-04-28, т./ф: +7 (499) 504-04-28
2754;"Группа компаний Крим";ООО;7729629230;Группа компаний Крим;Москва ул.Никулинская, д.27, корп.3;;;;0;Румянцева А.В.;;;
2141;"Группа Крим";ООО;7716569070;Группа Крим;;;;;;;;;
5323;"Группа Крим";ООО;7706796933;;119180, г.Москва, ул.Большая Полянка, д.7/10, стр.3, пом.IX, ком.Б;7 (915) 424-99-04;robert@cream-group.ru;;0;;Продажи рекламщик;robert@cream-group.ru;7 (915) 424-99-04
3268;"Группа М";ООО;7802154819;Группа М;197376, г. Санкт-Петербург, наб. реки Карповки, д.5, корп. 3;(812)3251060, (812)3252426;;;0;Двойрис М.Ю.;;;(812)3251060, (812)3252426, ms@prezent.ru
2309;"Группа Принт";ООО;4501147442;Группа Принт;Курган ул.Промышленная, д.33;;;;;Двойрис М.Ю.;;;
2304;"Группа товарищей";ООО;;Группа товарищей;;;;;;Краснова А.;Продажи рекламщик;;
5142;"Группа-7";ООО;2463221836;;660028, г. Красноярск, ул. Телевизорная, д. 1, строение 3;(3912)900-341;tm05@7group.kras.ru;;0;Кошлакова Виктория;Продажи Дилер;tm05@7group.kras.ru, tm02@7group.kras.ru, tm05@7group.kras.ru;(3912)900-341, 900-342
2269;"Грэйд";ООО;7733670915;Грэйд;Москва ул.Сходненская д.13;(495) 258-52-29;;;;Двойрис М.Ю.;;;(495) 258-52-29
671;"Грюнвальд";ООО;7706599526;Грюнвальд;г.Москва Берсеневская наб, 20/2;;;;;;;;
5261;"ГСОК "Казань";АО;1615006175;;422591, Республика Татарстан, Верхнеуслонский р-н, д. Савино;(843)221-66-01;gsok-kazan@yandex.ru;;0;;Продажи Конечник;gsok-kazan@yandex.ru;(843)221-66-01
5702;"ГСП-ГИФТ";ООО;7730056390;;121309, г. Москва, ул. Барклая, д.14;(495)626-49-00;oharlamova@mail.ru;;0;Двойрис М.Ю.;Продажи Агентство;oharlamova@mail.ru;(495)626-49-00
2140;"Гуд Лукинг Компани";ООО;7701529638;Гуд Лукинг Компани;105064 г. Москва, Фурманный пер, д. 10 стр 1;(495) 978 19 77, 7 (926) 205-00-70;;;;;;;(495) 978 19 77, 7 (926) 205-00-70, mike@goodlooking.ru
2196;"Гудвилл";ООО;7710671101;Гудвилл;Москва ул.пер. Старопименовский, д.6;;;;;;;;
6564;"Гудвин";ООО;3666216093;;394036, Воронежская обл., г. Воронеж, ул. Комиссаржевская, д. 8А, кв. 2;8950- 755-30-63;elena_zen16@mail.ru;;0;Кошлакова Виктория;Продажи рекламщик;elena_zen16@mail.ru;8950- 755-30-63
2781;"ГудКардс";ООО;4401099812;ГудКардс;Кострома ул.пр-т Мира, д.94 оф 2;(4942) 451818;zworigin@mail.ru;;0;Румянцева А.В.;;zworigin@mail.ru;(4942) 451818
5073;"ГУДС";ООО;7721506533;;115114, г. Москва, 2-й Кожевнический пер., д.12, эт.3, пом. I, ком. 3;(495)150-07-52;goods@goods.gifts;;0;;Продажи Агентство;goods@goods.gifts, nv@goods.ink, smirnov_net@mail.ru;(495)150-07-52, +7 (495) 150-07-52
1644;"Гулливер";ООО;5262155579;Альфреклама;Н.Новгород ул.Ванеева, 225;;;;;;;;
1938;"Гульден";ООО;7710682897;Гульден;Москва ул.Грузинский пер., д.4;739-66-59,916-76-82, 916-76-84;;;;Двойрис М.Ю.;;;739-66-59,916-76-82, 916-76-84
6757;"ГЭС Плюс";ООО;9704064705;;119072, г. Москва, муниципальный округ Якиманка вн.тер.г., Болотная наб., д. 15;+7 919 105 94 55;yulia.kulikova@v-a-c.org;;0;Цигельницкий И.Г.;Продажи Конечник;anna.karpova@v-a-c.org, sakhanskaya@inbox.ru, yulia.kulikova@v-a-c.org;+7 903 259 4120, +7 919 105 94 55, +7(963)712-67-25
514;'"Д''Артс"';ООО;3328426042;'Д''Артс';г.Владимир ул.Кирова,, 5;;;;;;;;
6149;"Да Винчи";ООО;3702201183;;153035 г. Иваново, ул. Ташкентская, д. 84 А, офис 3;(4932) 242-787;rialeo@ya.ru;;0;Краснова А.;Продажи рекламщик;rialeo@ya.ru;(4932) 242-787, 262-171
4222;"Да медиа";ООО;;;;;;;0;;;;
4234;"Да Медиа";ООО;;;;;;;0;;;;
2544;"ДаблТайм";ООО;7717616702;ДаблТайм;Москва ул.1-я Останкинская, д.7А;221-7653;;;0;Двойрис М.Ю.;;;221-7653
5229;"Дайверсити";ООО;7723633495;;141506, Московская обл., г. Солнечногорск,ул. Красноармейская, д. 8, офис 80;495-789-38-21;;;0;Двойрис М.Ю.;Продажи Агентство;abelyaev@thediversity.ru;495-789-38-21
3533;"Дайвёрс Про";ООО;7702671443;Дайвёрс Про;Москва ул.Малая Сухаревская площадь, д.6, стр. 1;(499) 713-76-33;german.s@diversepro.ru;;0;;;german.s@diversepro.ru;(499) 713-76-33
2523;"Даймонд Тим";ООО;7705164843;Даймонд Тим;Москва ул.2-ой Автозаводский пр-д, д.3А;626-42-43;;;0;Двойрис М.Ю.;;;626-42-43, alla@sunprint.ru, ira@sunprint.ru
1287;"Даймонд";ООО;7717555552;Азимут;г.Москва Проспект мира, 124, корп.2;;;;;;;;
3473;"Даймонд";ООО;7707696096;Даймонд;Москва ул.Делегатская, д.9 стр 1;(831) 2939 880 , 8 902 306 16 57;;;0;;;;(831) 2939 880 , 8 902 306 16 57
2967;"Даймэкс";ООО;7718800694;Даймэкс;Москва ул.Лермонтовская, д.17 стр 4;;;;0;;;;
6340;"ДакЛак";ООО;7447241859;;454001, г. Челябинск, ул. 40 лет Победы, д. 31 В, кв. 59;8 912 317 07 88;daclac@mail.ru;https://vk.com/daclacclub https://www.instagram.com/daclacclub/ http://daclac.ru/;0;Цигельницкий И.Г.;Розничная точка;daclac@mail.ru;8 912 317 07 88, 8 912 322 54 04
1961;"Дакор";ЗАО;7806141987;Дакор;Санкт - Петербург ул.Пискаревский пр,, д.25, корп.9;(812) 655 50 08;;;;Двойрис М.Ю.;Продажи рекламщик;;(812) 655 50 08
4458;"ДАКОР";ООО;7802861470;;194100, г. Санкт-Петербург, Литовская ул., д.10, лит.А, помещение 557;(812)677-15-30;gifts@dakor.ru;;0;Двойрис М.Ю.;Продажи рекламщик;gifts@dakor.ru, sales4@dakor.ru;(812) 677-15-30, (812)677-15-30, (812)677-15-31
1931;"Дакор+";ООО;7729312385;Дакор+;Москва Академика Анохина, 38, корп.1;;;;;Двойрис М.Ю.;;;
4136;"ДАЛВА Фильтр";ООО;7703785620;ДАЛВА Фильтр;123056, г. Москва, ул. Б. Грузинская, д. 42, пом. 1, ком.12;495 223 71 07;A.Bolobolkina@dalva.ru;;0;Румянцева А.В.;;A.Bolobolkina@dalva.ru;495 223 71 07
2072;"Дальсувенир";ООО;2540137878;Дальсувенир;г. Владивосток ул. Фонтанная, д.7, .к.10;;;;;;;;
718;"Дан-Пресс";ООО;7705302973;Дан-Пресс;Москва ул.Летниковская, д.16;645-67-07, 748-54-43;tl@danpress.ru;;;Румянцева А.В.;;tl@danpress.ru;645-67-07, 748-54-43, tl@danpress.ru
3812;"Данила-Мастер";ООО;7713700946;Данила-Мастер;115054, г. Москва, Дубнинская ул, д.16 корпус 3;8 916 312 32 24;;;0;Двойрис М.Ю.;;;8 916 312 32 24, o-vatolkina42@mail.ru
7015;"Дапринт";ООО;2901140590;;163061, Архангельская обл., Архангельск г., Ломоносова пр., д. 209, этаж 1, помещение 60;(8182) 48-20-20;;;0;Кошлакова Виктория;Продажи рекламщик;a.fokin@daprint.ru;(8182) 48-20-20, +79212446038
3387;"Дар Си";ООО;7702759962;Дар Си;Москва ул.пер Сухаревский М, д.9 стр 1 этаж 2 пом 1 ком 56а;;;;0;;;;
2207;"Дари";ООО;7718709678;Дари;Москва ул.Краснобогатырская, д.2, стр. 6, оф. 1;(495) 231-48-16;;;;Двойрис М.Ю.;;;(495) 231-48-16
6988;"Даромания";ООО;7723858668;;115088, г. Москва, ул. Южнопортовая, д. 5, стр. 1, этаж 2, пом. 212;+7 (964) 595-12-12;n.vaulin@sa.media;;0;Кошлакова Виктория;Продажи рекламщик;n.vaulin@sa.media, o.chernykh@sa.media;+7 (495) 937-16-18, +7 (964) 595-12-12
6971;"Дата-центр ИМАКЛИК";ООО;7838513927;;191119, г. Санкт-Петербург, наб. Обводного канала, д.93 А, лит.А, пом. 5-Н, комната 1215;+7 (812) 416 75 55;ashikunova@imaqliq.ru;;0;Кошлакова Виктория;Продажи Конечник;ashikunova@imaqliq.ru;+7 (812) 416 75 55
4972;"Дача Групп";ООО;3661052846;;394033, г. Воронеж, ул. Землячки, д. 21, оф. 6;+7 (473) 280-10-70;irkhina@dachagroup.ru;;0;Кошлакова Виктория;Продажи Конечник;irkhina@dachagroup.ru;+7 (473) 280-10-70
